Scenario,Mode,Fuel,2020,2025,2030,2040,2050
MMH,Sea,HFO,100,100,100,100,100
MMH,Sea,MGO,100,100,100,100,100
MMH,Sea,LNG,10,20,30,30,50
MMH,Sea,Hydrogen,0,0,2,6,10
MMH,Sea,Ammonia,0,0,3,12,25
MMH,Sea,Biodiesel (HVO),0,0,5,10,20
MMH,Sea,Biogas,0,0,5,10,20
MMH,Rail,Diesel,100,100,100,100,100
MMH,Rail,Electric train (CL),100,100,100,100,100
MMH,Rail,Battery train,0,0,10,15,20
MMH,Rail,Hydrogen,0,0,1,3,5
MMH,Rail,Biodiesel,0,0,5,10,20
MMM,Road,Diesel,100,100,100,100,100
MMM,Road,Battery electric,0.2,2,10,25,50
MMM,Road,Hydrogen,0,0,5,15,25
MMM,Road,Biodiesel,5,6,10,15,20
MMM,Road,Biogas,0,1,4,7,10
MMM,Sea,HFO,100,100,100,100,100
MMM,Sea,MGO,100,100,100,100,100
MMM,Sea,LNG,10,20,30,30,50
MMM,Sea,Hydrogen,0,0,2,6,10
MMM,Sea,Ammonia,0,0,3,12,25
MMM,Sea,Biodiesel (HVO),0,0,2,6,10
MMM,Sea,Biogas,0,0,2,6,10
MMM,Rail,Diesel,100,100,100,100,100
MMM,Rail,Electric train (CL),100,100,100,100,100
MMM,Rail,Battery train,0,0,10,15,20
MMM,Rail,Hydrogen,0,0,1,3,5
MMM,Rail,Biodiesel,0,0,2,6,10
MML,Road,Diesel,100,100,100,100,100
MML,Road,Battery electric,0.2,2,10,25,50
MML,Road,Hydrogen,0,0,5,15,25
MML,Road,Biodiesel,5,6,7,8.5,10
MML,Road,Biogas,0,1,2,3.5,5
MML,Sea,HFO,100,100,100,100,100
MML,Sea,MGO,100,100,100,100,100
MML,Sea,LNG,10,20,30,30,50
MML,Sea,Hydrogen,0,0,2,6,10
MML,Sea,Ammonia,0,0,3,12,25
MML,Sea,Biodiesel (HVO),0,0,2,3.5,5
MML,Sea,Biogas,0,0,2,3.5,5
MML,Rail,Diesel,100,100,100,100,100
