,paths
142,"[('Hamar', 'Oslo', 'Rail', 1)]"
143,"[('Kristiansand', 'Nord-Sverige', 'Sea', 1)]"
144,"[('Nord-Sverige', 'Kristiansand', 'Sea', 1)]"
145,"[('Kontinentalsokkelen', 'Verden', 'Sea', 1)]"
146,"[('Oslo', 'Nord-Sverige', 'Sea', 1)]"
147,"[('Nord-Sverige', 'Oslo', 'Sea', 1)]"
148,"[('Ålesund', 'Kontinentalsokkelen', 'Sea', 1)]"
149,"[('Kontinentalsokkelen', 'Ålesund', 'Sea', 1)]"
150,"[('Bergen', 'Bodø', 'Sea', 1)]"
151,"[('Bodø', 'Bergen', 'Sea', 1)]"
152,"[('Bergen', 'Nord-Sverige', 'Sea', 1)]"
153,"[('Nord-Sverige', 'Bergen', 'Sea', 1)]"
154,"[('Bodø', 'Verden', 'Sea', 1)]"
155,"[('Verden', 'Bodø', 'Sea', 1)]"
156,"[('Kristiansand', 'Stavanger', 'Sea', 1)]"
157,"[('Stavanger', 'Kristiansand', 'Sea', 1)]"
158,"[('Tromsø', 'Ålesund', 'Sea', 1)]"
159,"[('Ålesund', 'Tromsø', 'Sea', 1)]"
160,"[('Stavanger', 'Skien', 'Sea', 1)]"
161,"[('Skien', 'Stavanger', 'Sea', 1)]"
162,"[('Bodø', 'Tromsø', 'Sea', 1)]"
163,"[('Tromsø', 'Bodø', 'Sea', 1)]"
164,"[('Bergen', 'Kristiansand', 'Sea', 1)]"
165,"[('Kristiansand', 'Bergen', 'Sea', 1)]"
166,"[('Oslo', 'Stavanger', 'Sea', 1)]"
167,"[('Stavanger', 'Oslo', 'Sea', 1)]"
168,"[('Trondheim', 'Hamar', 'Road', 1)]"
169,"[('Hamar', 'Trondheim', 'Road', 1)]"
170,"[('Kristiansand', 'Skien', 'Road', 1)]"
171,"[('Skien', 'Kristiansand', 'Road', 1)]"
172,"[('Bergen', 'Stavanger', 'Sea', 1)]"
173,"[('Stavanger', 'Bergen', 'Sea', 1)]"
174,"[('Trondheim', 'Verden', 'Sea', 1)]"
175,"[('Verden', 'Trondheim', 'Sea', 1)]"
176,"[('Bodø', 'Nord-Sverige', 'Rail', 1)]"
177,"[('Nord-Sverige', 'Bodø', 'Rail', 1)]"
178,"[('Trondheim', 'Nord-Sverige', 'Road', 1)]"
179,"[('Nord-Sverige', 'Trondheim', 'Road', 1)]"
180,"[('Trondheim', 'Hamar', 'Rail', 1)]"
181,"[('Hamar', 'Trondheim', 'Rail', 1)]"
182,"[('Skien', 'Europa', 'Sea', 1)]"
183,"[('Europa', 'Skien', 'Sea', 1)]"
184,"[('Oslo', 'Trondheim', 'Sea', 1)]"
185,"[('Trondheim', 'Oslo', 'Sea', 1)]"
186,"[('Oslo', 'Tromsø', 'Sea', 1)]"
187,"[('Tromsø', 'Oslo', 'Sea', 1)]"
188,"[('Hamar', 'Sør-Sverige', 'Rail', 1)]"
189,"[('Sør-Sverige', 'Hamar', 'Rail', 1)]"
190,"[('Kristiansand', 'Ålesund', 'Sea', 1)]"
191,"[('Ålesund', 'Kristiansand', 'Sea', 1)]"
192,"[('Bergen', 'Verden', 'Sea', 1)]"
193,"[('Verden', 'Bergen', 'Sea', 1)]"
