,paths
464,"[('Stavanger', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1)]"
465,"[('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Bergen', 'Rail', 1)]"
466,"[('Sør-Sverige', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 2)]"
467,"[('Sør-Sverige', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 1)]"
468,"[('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1)]"
469,"[('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Rail', 1)]"
470,"[('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1)]"
471,"[('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1)]"
472,"[('Sør-Sverige', 'Hamar', 'Rail', 1), ('Hamar', 'Ålesund', 'Rail', 1)]"
473,"[('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Stavanger', 'Rail', 1)]"
474,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1)]"
475,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Bergen', 'Rail', 1)]"
476,"[('Nord-Sverige', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Rail', 1)]"
477,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Hamar', 'Rail', 1)]"
478,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1)]"
479,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1)]"
480,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Hamar', 'Rail', 1), ('Hamar', 'Ålesund', 'Rail', 1)]"
481,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Stavanger', 'Rail', 1)]"
482,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1)]"
483,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 2)]"
484,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 1)]"
485,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1)]"
486,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Rail', 1)]"
487,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Hamar', 'Rail', 1)]"
488,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1)]"
489,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Hamar', 'Rail', 1), ('Hamar', 'Ålesund', 'Rail', 1)]"
490,"[('Hamar', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1)]"
491,"[('Bodø', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Hamar', 'Rail', 1)]"
492,"[('Bodø', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Hamar', 'Rail', 1), ('Hamar', 'Oslo', 'Rail', 1)]"
493,"[('Hamar', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1), ('Oslo', 'Hamar', 'Rail', 1), ('Bodø', 'Tromsø', 'Rail', 1)]"
494,"[('Hamar', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Rail', 1)]"
495,"[('Oslo', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
496,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 1), ('Trondheim', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
497,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Sea', 1)]"
498,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Road', 1)]"
499,"[('Oslo', 'Bergen', 'Rail', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
500,"[('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Nord-Sverige', 'Sea', 1)]"
501,"[('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1)]"
502,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Verden', 'Sea', 1)]"
503,"[('Bergen', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
504,"[('Bergen', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
505,"[('Bergen', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
506,"[('Bergen', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
507,"[('Bergen', 'Stavanger', 'Road', 1), ('Stavanger', 'Kristiansand', 'Rail', 1)]"
508,"[('Bergen', 'Ålesund', 'Road', 1), ('Ålesund', 'Trondheim', 'Road', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
509,"[('Trondheim', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
510,"[('Trondheim', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
511,"[('Trondheim', 'Bergen', 'Sea', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
512,"[('Trondheim', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Rail', 1)]"
513,"[('Trondheim', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Sør-Sverige', 'Sea', 1)]"
514,"[('Trondheim', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Sør-Sverige', 'Road', 1)]"
515,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Bergen', 'Sea', 1)]"
516,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Bergen', 'Rail', 1)]"
517,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Bergen', 'Sea', 1)]"
518,"[('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Sea', 1)]"
519,"[('Hamar', 'Trondheim', 'Rail', 1), ('Trondheim', 'Bodø', 'Sea', 1)]"
520,"[('Hamar', 'Ålesund', 'Road', 1), ('Ålesund', 'Bodø', 'Sea', 1)]"
521,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Bodø', 'Sea', 1)]"
522,"[('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Tromsø', 'Sea', 1)]"
523,"[('Hamar', 'Trondheim', 'Rail', 1), ('Trondheim', 'Tromsø', 'Sea', 1)]"
524,"[('Hamar', 'Ålesund', 'Road', 1), ('Ålesund', 'Tromsø', 'Sea', 1)]"
525,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Kristiansand', 'Sea', 1)]"
526,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1)]"
527,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Kristiansand', 'Sea', 1)]"
528,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Stavanger', 'Sea', 1)]"
529,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Stavanger', 'Sea', 1)]"
530,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Stavanger', 'Rail', 1)]"
531,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Rail', 1)]"
532,"[('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
533,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1)]"
534,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Nord-Sverige', 'Sea', 1)]"
535,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Europa', 'Sea', 1)]"
536,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Europa', 'Rail', 1)]"
537,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Europa', 'Sea', 1)]"
538,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1), ('Skien', 'Verden', 'Sea', 1)]"
539,"[('Hamar', 'Ålesund', 'Road', 1), ('Ålesund', 'Verden', 'Sea', 1)]"
540,"[('Hamar', 'Ålesund', 'Rail', 1), ('Ålesund', 'Verden', 'Sea', 1)]"
541,"[('Bodø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Road', 1)]"
542,"[('Bodø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Rail', 1)]"
543,"[('Bodø', 'Ålesund', 'Sea', 1), ('Ålesund', 'Hamar', 'Road', 1)]"
544,"[('Bodø', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
545,"[('Bodø', 'Bergen', 'Sea', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
546,"[('Bodø', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Rail', 1)]"
547,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Oslo', 'Sea', 1)]"
548,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Bergen', 'Sea', 1)]"
549,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Trondheim', 'Sea', 1)]"
550,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Trondheim', 'Rail', 1)]"
551,"[('Tromsø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Road', 1)]"
552,"[('Tromsø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Rail', 1)]"
553,"[('Tromsø', 'Ålesund', 'Sea', 1), ('Ålesund', 'Hamar', 'Road', 1)]"
554,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Kristiansand', 'Sea', 1)]"
555,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Ålesund', 'Sea', 1)]"
556,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Stavanger', 'Sea', 1)]"
557,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Sør-Sverige', 'Rail', 1)]"
558,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Sør-Sverige', 'Sea', 1)]"
559,"[('Tromsø', 'Bodø', 'Sea', 1), ('Bodø', 'Nord-Sverige', 'Road', 1)]"
560,"[('Tromsø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
561,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Kontinentalsokkelen', 'Sea', 1)]"
562,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Europa', 'Sea', 1)]"
563,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Europa', 'Rail', 1)]"
564,"[('Tromsø', 'Bodø', 'Road', 1), ('Bodø', 'Verden', 'Sea', 1)]"
565,"[('Kristiansand', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1)]"
566,"[('Kristiansand', 'Stavanger', 'Rail', 1), ('Stavanger', 'Bergen', 'Road', 1)]"
567,"[('Kristiansand', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
568,"[('Kristiansand', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
569,"[('Kristiansand', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
570,"[('Kristiansand', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
571,"[('Ålesund', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Rail', 1)]"
572,"[('Ålesund', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
573,"[('Ålesund', 'Bergen', 'Sea', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
574,"[('Ålesund', 'Trondheim', 'Sea', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
575,"[('Ålesund', 'Trondheim', 'Road', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
576,"[('Stavanger', 'Bergen', 'Road', 1), ('Bergen', 'Oslo', 'Rail', 1)]"
577,"[('Stavanger', 'Bergen', 'Road', 1), ('Bergen', 'Trondheim', 'Sea', 1)]"
578,"[('Stavanger', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
579,"[('Stavanger', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
580,"[('Stavanger', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Skien', 'Rail', 1), ('Skien', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
581,"[('Stavanger', 'Bergen', 'Road', 1), ('Bergen', 'Bodø', 'Sea', 1)]"
582,"[('Stavanger', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
583,"[('Stavanger', 'Bergen', 'Road', 1), ('Bergen', 'Ålesund', 'Sea', 1)]"
584,"[('Stavanger', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Skien', 'Sea', 1)]"
585,"[('Stavanger', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Skien', 'Road', 1)]"
586,"[('Stavanger', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Sør-Sverige', 'Sea', 1)]"
587,"[('Stavanger', 'Bergen', 'Road', 1), ('Bergen', 'Kontinentalsokkelen', 'Sea', 1)]"
588,"[('Stavanger', 'Kristiansand', 'Road', 1), ('Kristiansand', 'Europa', 'Sea', 1)]"
589,"[('Stavanger', 'Bergen', 'Road', 1), ('Bergen', 'Verden', 'Sea', 1)]"
590,"[('Skien', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Road', 1)]"
591,"[('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1)]"
592,"[('Sør-Sverige', 'Nord-Sverige', 'Sea', 1), ('Nord-Sverige', 'Trondheim', 'Rail', 1)]"
593,"[('Sør-Sverige', 'Nord-Sverige', 'Road', 1), ('Nord-Sverige', 'Trondheim', 'Rail', 1)]"
594,"[('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Trondheim', 'Road', 1)]"
595,"[('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
596,"[('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Road', 1)]"
597,"[('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
598,"[('Sør-Sverige', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
599,"[('Sør-Sverige', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Road', 1)]"
600,"[('Nord-Sverige', 'Sør-Sverige', 'Sea', 1), ('Sør-Sverige', 'Oslo', 'Road', 1)]"
601,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Road', 1)]"
602,"[('Nord-Sverige', 'Trondheim', 'Rail', 1), ('Trondheim', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Road', 1)]"
603,"[('Nord-Sverige', 'Trondheim', 'Rail', 1), ('Trondheim', 'Hamar', 'Road', 1)]"
604,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
605,"[('Nord-Sverige', 'Sør-Sverige', 'Sea', 1), ('Sør-Sverige', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
606,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
607,"[('Nord-Sverige', 'Bodø', 'Road', 1), ('Bodø', 'Tromsø', 'Sea', 1)]"
608,"[('Nord-Sverige', 'Trondheim', 'Rail', 1), ('Trondheim', 'Ålesund', 'Sea', 1)]"
609,"[('Nord-Sverige', 'Trondheim', 'Rail', 1), ('Trondheim', 'Ålesund', 'Road', 1)]"
610,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Road', 1)]"
611,"[('Kontinentalsokkelen', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
612,"[('Kontinentalsokkelen', 'Bergen', 'Sea', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
613,"[('Europa', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1)]"
614,"[('Europa', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
615,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Rail', 1), ('Oslo', 'Hamar', 'Road', 1)]"
616,"[('Europa', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
617,"[('Europa', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
618,"[('Europa', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
619,"[('Europa', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Road', 1)]"
620,"[('Verden', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1)]"
621,"[('Verden', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
622,"[('Verden', 'Ålesund', 'Sea', 1), ('Ålesund', 'Hamar', 'Road', 1)]"
623,"[('Verden', 'Ålesund', 'Sea', 1), ('Ålesund', 'Hamar', 'Rail', 1)]"
624,"[('Verden', 'Bodø', 'Sea', 1), ('Bodø', 'Tromsø', 'Road', 1)]"
625,"[('Verden', 'Bergen', 'Sea', 1), ('Bergen', 'Stavanger', 'Road', 1)]"
626,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Bodø', 'Sea', 1)]"
627,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Road', 1), ('Trondheim', 'Tromsø', 'Sea', 1)]"
628,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 1), ('Trondheim', 'Tromsø', 'Sea', 1)]"
629,"[('Oslo', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 2), ('Trondheim', 'Tromsø', 'Sea', 1)]"
630,"[('Oslo', 'Bergen', 'Road', 1), ('Bergen', 'Ålesund', 'Sea', 1)]"
631,"[('Oslo', 'Bergen', 'Rail', 1), ('Bergen', 'Ålesund', 'Sea', 1)]"
632,"[('Oslo', 'Kristiansand', 'Sea', 1), ('Kristiansand', 'Stavanger', 'Rail', 1)]"
633,"[('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Stavanger', 'Sea', 1)]"
634,"[('Oslo', 'Skien', 'Road', 1), ('Skien', 'Stavanger', 'Sea', 1)]"
635,"[('Oslo', 'Bergen', 'Road', 1), ('Bergen', 'Stavanger', 'Sea', 1)]"
636,"[('Oslo', 'Hamar', 'Road', 1), ('Hamar', 'Trondheim', 'Rail', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
637,"[('Oslo', 'Sør-Sverige', 'Sea', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1)]"
638,"[('Bergen', 'Ålesund', 'Sea', 1), ('Ålesund', 'Hamar', 'Road', 1)]"
639,"[('Bergen', 'Ålesund', 'Sea', 1), ('Ålesund', 'Hamar', 'Rail', 1)]"
640,"[('Bergen', 'Trondheim', 'Sea', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
641,"[('Trondheim', 'Hamar', 'Rail', 1), ('Hamar', 'Ålesund', 'Rail', 1), ('Ålesund', 'Skien', 'Sea', 1)]"
642,"[('Hamar', 'Ålesund', 'Road', 1), ('Ålesund', 'Bergen', 'Sea', 1)]"
643,"[('Hamar', 'Ålesund', 'Rail', 1), ('Ålesund', 'Bergen', 'Sea', 1)]"
644,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Bergen', 'Road', 1), ('Bergen', 'Stavanger', 'Sea', 1)]"
645,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Sea', 1)]"
646,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Sea', 1)]"
647,"[('Bodø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1)]"
648,"[('Tromsø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Road', 1), ('Hamar', 'Oslo', 'Road', 1)]"
649,"[('Tromsø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Rail', 1), ('Hamar', 'Oslo', 'Rail', 1)]"
650,"[('Tromsø', 'Trondheim', 'Sea', 1), ('Trondheim', 'Hamar', 'Rail', 2), ('Hamar', 'Oslo', 'Rail', 1)]"
651,"[('Tromsø', 'Bodø', 'Sea', 1), ('Bodø', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Sør-Sverige', 'Rail', 1)]"
652,"[('Ålesund', 'Bergen', 'Sea', 1), ('Bergen', 'Oslo', 'Road', 1)]"
653,"[('Ålesund', 'Bergen', 'Sea', 1), ('Bergen', 'Oslo', 'Rail', 1)]"
654,"[('Stavanger', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Oslo', 'Sea', 1)]"
655,"[('Stavanger', 'Bergen', 'Sea', 1), ('Bergen', 'Oslo', 'Road', 1)]"
656,"[('Stavanger', 'Bergen', 'Sea', 1), ('Bergen', 'Oslo', 'Road', 1), ('Oslo', 'Hamar', 'Road', 1)]"
657,"[('Stavanger', 'Trondheim', 'Sea', 1), ('Trondheim', 'Nord-Sverige', 'Rail', 1)]"
658,"[('Skien', 'Ålesund', 'Sea', 1), ('Ålesund', 'Hamar', 'Rail', 1), ('Hamar', 'Trondheim', 'Rail', 1)]"
659,"[('Skien', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
660,"[('Skien', 'Sør-Sverige', 'Sea', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1)]"
661,"[('Sør-Sverige', 'Oslo', 'Sea', 1), ('Oslo', 'Hamar', 'Road', 1)]"
662,"[('Sør-Sverige', 'Nord-Sverige', 'Rail', 1), ('Nord-Sverige', 'Bodø', 'Rail', 1), ('Bodø', 'Tromsø', 'Sea', 1)]"
663,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Oslo', 'Sea', 1)]"
664,"[('Nord-Sverige', 'Trondheim', 'Rail', 1), ('Trondheim', 'Bergen', 'Sea', 1)]"
665,"[('Nord-Sverige', 'Trondheim', 'Rail', 1), ('Trondheim', 'Tromsø', 'Sea', 1)]"
666,"[('Nord-Sverige', 'Trondheim', 'Rail', 1), ('Trondheim', 'Stavanger', 'Sea', 1)]"
667,"[('Nord-Sverige', 'Sør-Sverige', 'Rail', 1), ('Sør-Sverige', 'Skien', 'Sea', 1)]"
668,"[('Verden', 'Skien', 'Sea', 1), ('Skien', 'Oslo', 'Rail', 1)]"
669,"[('Bergen', 'Stavanger', 'Sea', 1), ('Stavanger', 'Kristiansand', 'Road', 1)]"
670,"[('Bergen', 'Oslo', 'Road', 1), ('Oslo', 'Skien', 'Sea', 1)]"
671,"[('Hamar', 'Trondheim', 'Rail', 1), ('Trondheim', 'Ålesund', 'Sea', 1)]"
672,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Nord-Sverige', 'Sea', 1)]"
673,"[('Hamar', 'Oslo', 'Road', 1), ('Oslo', 'Sør-Sverige', 'Road', 1), ('Sør-Sverige', 'Nord-Sverige', 'Rail', 1)]"
674,"[('Hamar', 'Oslo', 'Rail', 1), ('Oslo', 'Skien', 'Rail', 1), ('Skien', 'Kristiansand', 'Rail', 1), ('Kristiansand', 'Verden', 'Sea', 1)]"
675,"[('Tromsø', 'Bodø', 'Rail', 1), ('Bodø', 'Nord-Sverige', 'Road', 1)]"
676,"[('Kristiansand', 'Stavanger', 'Road', 1), ('Stavanger', 'Bergen', 'Sea', 1)]"
